time,.data
2024/06/03/16:10:14.548987,34
2024/06/03/16:10:14.565685,34
2024/06/03/16:10:14.582457,35
2024/06/03/16:10:14.598554,36
2024/06/03/16:10:14.614682,37
2024/06/03/16:10:14.632361,37
2024/06/03/16:10:14.648251,37
2024/06/03/16:10:14.666079,37
2024/06/03/16:10:14.683846,37
2024/06/03/16:10:14.699319,37
2024/06/03/16:10:14.716081,37
2024/06/03/16:10:14.732799,37
2024/06/03/16:10:14.749576,37
2024/06/03/16:10:14.766599,37
2024/06/03/16:10:14.782297,37
2024/06/03/16:10:14.798145,37
2024/06/03/16:10:14.816101,37
2024/06/03/16:10:14.831199,37
2024/06/03/16:10:14.849055,37
2024/06/03/16:10:14.867225,37
2024/06/03/16:10:14.885598,37
2024/06/03/16:10:14.900573,37
2024/06/03/16:10:14.917456,37
2024/06/03/16:10:14.933569,37
2024/06/03/16:10:14.952353,37
2024/06/03/16:10:14.965771,37
2024/06/03/16:10:14.982835,37
2024/06/03/16:10:14.999289,37
2024/06/03/16:10:15.018800,37
2024/06/03/16:10:15.031072,37
2024/06/03/16:10:15.048508,37
2024/06/03/16:10:15.067228,37
2024/06/03/16:10:15.085440,37
2024/06/03/16:10:15.099392,37
2024/06/03/16:10:15.115842,37
2024/06/03/16:10:15.131783,37
2024/06/03/16:10:15.148455,37
2024/06/03/16:10:15.165210,37
2024/06/03/16:10:15.182981,37
2024/06/03/16:10:15.198745,37
2024/06/03/16:10:15.216315,37
2024/06/03/16:10:15.232156,37
2024/06/03/16:10:15.248984,37
2024/06/03/16:10:15.266757,37
2024/06/03/16:10:15.281586,37
2024/06/03/16:10:15.299245,37
2024/06/03/16:10:15.315776,37
2024/06/03/16:10:15.333148,37
2024/06/03/16:10:15.348335,37
2024/06/03/16:10:15.365393,37
2024/06/03/16:10:15.380763,37
2024/06/03/16:10:15.399472,37
2024/06/03/16:10:15.416707,37
2024/06/03/16:10:15.431940,37
2024/06/03/16:10:15.450129,37
2024/06/03/16:10:15.465273,37
2024/06/03/16:10:15.482810,37
2024/06/03/16:10:15.499453,37
2024/06/03/16:10:15.516825,37
2024/06/03/16:10:15.534038,37
2024/06/03/16:10:15.550752,37
2024/06/03/16:10:15.566008,37
2024/06/03/16:10:15.582618,37
2024/06/03/16:10:15.598939,37
2024/06/03/16:10:15.625247,37
2024/06/03/16:10:15.632483,37
2024/06/03/16:10:15.648951,37
2024/06/03/16:10:15.665678,37
2024/06/03/16:10:15.683064,37
2024/06/03/16:10:15.699668,37
2024/06/03/16:10:15.715213,37
2024/06/03/16:10:15.731001,37
2024/06/03/16:10:15.749006,37
2024/06/03/16:10:15.764877,37
2024/06/03/16:10:15.781630,37
2024/06/03/16:10:15.800133,37
2024/06/03/16:10:15.814290,37
2024/06/03/16:10:15.830980,37
2024/06/03/16:10:15.848214,37
2024/06/03/16:10:15.865954,37
2024/06/03/16:10:15.882446,37
2024/06/03/16:10:15.899194,37
2024/06/03/16:10:15.916070,37
2024/06/03/16:10:15.932185,37
2024/06/03/16:10:15.949005,37
2024/06/03/16:10:15.965271,37
2024/06/03/16:10:15.982638,37
2024/06/03/16:10:15.999371,37
2024/06/03/16:10:16.017209,37
2024/06/03/16:10:16.032372,37
2024/06/03/16:10:16.049611,37
2024/06/03/16:10:16.065545,37
2024/06/03/16:10:16.081904,37
2024/06/03/16:10:16.098374,37
2024/06/03/16:10:16.114591,37
2024/06/03/16:10:16.131212,37
2024/06/03/16:10:16.147984,37
2024/06/03/16:10:16.165560,37
2024/06/03/16:10:16.182919,37
2024/06/03/16:10:16.200722,37
2024/06/03/16:10:16.215749,37
2024/06/03/16:10:16.233496,37
2024/06/03/16:10:16.250534,37
2024/06/03/16:10:16.266729,37
2024/06/03/16:10:16.283201,37
2024/06/03/16:10:16.299641,37
2024/06/03/16:10:16.316182,37
2024/06/03/16:10:16.333106,37
2024/06/03/16:10:16.349046,37
2024/06/03/16:10:16.368447,37
2024/06/03/16:10:16.382354,37
2024/06/03/16:10:16.399945,37
2024/06/03/16:10:16.416735,37
2024/06/03/16:10:16.435383,37
2024/06/03/16:10:16.449168,37
2024/06/03/16:10:16.466651,37
2024/06/03/16:10:16.482883,37
2024/06/03/16:10:16.501206,37
2024/06/03/16:10:16.516859,37
2024/06/03/16:10:16.533623,37
2024/06/03/16:10:16.548568,37
2024/06/03/16:10:16.565367,37
2024/06/03/16:10:16.583009,37
2024/06/03/16:10:16.599151,37
2024/06/03/16:10:16.618343,37
2024/06/03/16:10:16.632172,37
2024/06/03/16:10:16.649519,37
2024/06/03/16:10:16.665866,37
2024/06/03/16:10:16.682549,37
2024/06/03/16:10:16.697584,37
2024/06/03/16:10:16.715789,37
2024/06/03/16:10:16.732523,37
2024/06/03/16:10:16.749066,37
2024/06/03/16:10:16.765926,37
2024/06/03/16:10:16.781738,37
2024/06/03/16:10:16.798365,37
2024/06/03/16:10:16.815202,37
2024/06/03/16:10:16.832102,37
2024/06/03/16:10:16.849347,37
2024/06/03/16:10:16.865225,37
2024/06/03/16:10:16.880376,37
2024/06/03/16:10:16.899549,37
2024/06/03/16:10:16.916109,37
2024/06/03/16:10:16.930229,37
2024/06/03/16:10:16.948723,37
2024/06/03/16:10:16.965598,37
2024/06/03/16:10:16.982049,37
2024/06/03/16:10:16.999643,37
2024/06/03/16:10:17.015832,37
2024/06/03/16:10:17.032342,37
2024/06/03/16:10:17.049845,37
2024/06/03/16:10:17.067239,37
2024/06/03/16:10:17.085492,37
2024/06/03/16:10:17.098903,37
2024/06/03/16:10:17.116654,37
2024/06/03/16:10:17.132838,37
2024/06/03/16:10:17.148344,37
2024/06/03/16:10:17.166333,37
2024/06/03/16:10:17.183542,37
2024/06/03/16:10:17.199189,37
2024/06/03/16:10:17.216714,37
2024/06/03/16:10:17.235228,37
2024/06/03/16:10:17.252616,37
2024/06/03/16:10:17.268044,37
2024/06/03/16:10:17.282647,37
2024/06/03/16:10:17.300461,37
2024/06/03/16:10:17.317823,37
2024/06/03/16:10:17.331585,37
2024/06/03/16:10:17.347950,37
2024/06/03/16:10:17.365202,37
2024/06/03/16:10:17.381741,37
2024/06/03/16:10:17.399357,37
2024/06/03/16:10:17.417213,37
2024/06/03/16:10:17.431587,37
2024/06/03/16:10:17.449819,37
2024/06/03/16:10:17.464758,37
2024/06/03/16:10:17.482766,37
2024/06/03/16:10:17.497188,37
2024/06/03/16:10:17.515404,37
2024/06/03/16:10:17.531435,37
2024/06/03/16:10:17.549584,37
2024/06/03/16:10:17.565826,37
2024/06/03/16:10:17.582766,37
2024/06/03/16:10:17.599539,37
2024/06/03/16:10:17.614756,37
2024/06/03/16:10:17.632750,37
2024/06/03/16:10:17.648551,37
2024/06/03/16:10:17.665607,37
2024/06/03/16:10:17.680208,37
2024/06/03/16:10:17.699156,37
