time,.pulsos,.time_millis
2024/06/03/16:11:51.162916,8,500
2024/06/03/16:11:51.672778,6,500
2024/06/03/16:11:52.180945,5,500
2024/06/03/16:11:52.695862,9,500
2024/06/03/16:11:53.204137,8,500
2024/06/03/16:11:53.717149,10,500
2024/06/03/16:11:54.225987,6,500
2024/06/03/16:11:54.739351,8,500
2024/06/03/16:11:55.249031,8,500
2024/06/03/16:11:55.759535,7,500
2024/06/03/16:11:56.273777,8,500
2024/06/03/16:11:56.783609,7,500
2024/06/03/16:11:57.290532,8,500
2024/06/03/16:11:57.804328,9,500
2024/06/03/16:11:58.319472,10,500
2024/06/03/16:11:58.825269,13,500
2024/06/03/16:11:59.337868,9,500
2024/06/03/16:11:59.846492,11,500
2024/06/03/16:12:00.359353,12,500
2024/06/03/16:12:00.870391,12,500
2024/06/03/16:12:01.379968,11,500
2024/06/03/16:12:01.892757,13,500
2024/06/03/16:12:02.405058,15,500
2024/06/03/16:12:02.915936,11,500
2024/06/03/16:12:03.424337,14,500
2024/06/03/16:12:03.935922,12,500
2024/06/03/16:12:04.447337,12,500
2024/06/03/16:12:04.957351,13,500
2024/06/03/16:12:05.468580,13,500
2024/06/03/16:12:05.979352,13,500
2024/06/03/16:12:06.489591,12,500
2024/06/03/16:12:07.004807,11,500
2024/06/03/16:12:07.511527,12,500
2024/06/03/16:12:08.023155,13,500
2024/06/03/16:12:08.536539,11,500
2024/06/03/16:12:09.044592,9,500
2024/06/03/16:12:09.555524,11,500
2024/06/03/16:12:10.070130,11,500
2024/06/03/16:12:10.574942,13,500
2024/06/03/16:12:11.088794,12,500
2024/06/03/16:12:11.601407,10,500
2024/06/03/16:12:12.108444,12,500
2024/06/03/16:12:12.622879,10,500
2024/06/03/16:12:13.136730,10,500
2024/06/03/16:12:13.643407,12,500
2024/06/03/16:12:14.155863,11,500
2024/06/03/16:12:14.665557,10,500
2024/06/03/16:12:15.174893,7,500
2024/06/03/16:12:15.687188,12,500
2024/06/03/16:12:16.200470,9,500
2024/06/03/16:12:16.709417,11,500
2024/06/03/16:12:17.218526,6,500
2024/06/03/16:12:17.728904,7,500
2024/06/03/16:12:18.241000,7,500
2024/06/03/16:12:18.753995,4,500
2024/06/03/16:12:19.264263,6,500
2024/06/03/16:12:19.775112,4,500
2024/06/03/16:12:20.288147,4,500
2024/06/03/16:12:20.792572,4,500
2024/06/03/16:12:21.310061,4,500
2024/06/03/16:12:21.819544,3,500
2024/06/03/16:12:22.328120,2,500
2024/06/03/16:12:22.839206,2,500
2024/06/03/16:12:23.356347,2,500
2024/06/03/16:12:23.861945,1,500
2024/06/03/16:12:24.371260,1,500
2024/06/03/16:12:24.888645,1,500
2024/06/03/16:12:25.394680,0,500
2024/06/03/16:12:25.902863,0,500
2024/06/03/16:12:26.422489,0,500
2024/06/03/16:12:26.928308,0,500
2024/06/03/16:12:27.440573,0,500
2024/06/03/16:12:27.948734,0,500
2024/06/03/16:12:28.457964,0,500
2024/06/03/16:12:28.970338,0,500
2024/06/03/16:12:29.484498,0,500
2024/06/03/16:12:29.991765,0,500
2024/06/03/16:12:30.508294,0,500
2024/06/03/16:12:31.018119,0,500
2024/06/03/16:12:31.527068,0,500
2024/06/03/16:12:32.036500,0,500
2024/06/03/16:12:32.545105,0,500
2024/06/03/16:12:33.055879,0,500
2024/06/03/16:12:33.567615,0,500
2024/06/03/16:12:34.084489,0,500
2024/06/03/16:12:34.591537,0,500
