time,.topic_brake,.position_brake,.is_move_brake,.topic_dir,.current_position_dir,.enable_dir,.is_limit_right_dir,.is_limit_left_dir,.topic_accel,.enable_accel,.pwm_accel,.voltage_accel
2024/06/03/16:09:52.826045,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.840935,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.857352,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.879303,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.898203,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.912282,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.928775,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.945120,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.961552,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.977974,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.994222,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:53.010981,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:53.027213,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:53.043661,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
